feature,OLS,Ridge,Lasso,ElasticNet
(intercepto),237195.0110718546,226401.79797804033,210586.5358112234,225477.71161297086
PC1,39579.959597374436,39524.01951989485,39521.91627845391,39515.24402458613
PC2,-6133.719209151395,-6193.227006823756,-6220.554268358661,-6199.521714187305
PC3,3208.920553312996,3245.180272788013,3072.8527237686126,3251.55183230536
PC4,4435.656866733884,4405.447666304535,4309.288855705294,4403.278720222592
PC5,31850.21055428177,32089.494204768038,31905.15085898644,32114.02223061372
PC6,-1413.5115121018807,-1343.17418800827,-1270.8828876457528,-1333.664512689873
PC7,9156.425827860956,9114.04503080016,8783.319461461511,9109.434899829661
PC8,-9422.063421923145,-9384.628133328166,-9072.006526326039,-9380.362646080064
PC9,25168.706548527967,24993.15140256862,24551.88844091135,24967.223874150863
heating___hot air,7275.607680682332,7019.001598168514,7229.481789873395,6997.303151480682
heating___hot water/steam,-6854.015301421497,-6963.965494065196,-6250.065909184989,-6962.020982740863
fuel___gas,1895.9796043212812,2035.0693588820286,1591.3050160002188,2040.8575580202034
fuel___oil,-3797.3570850864153,-3078.9943514939514,-2139.6006128354747,-3007.011916066393
sewer___public/commercial,-31464.260548693164,-20560.463380684116,-4578.148508591886,-19626.680913126445
sewer___septic,-26329.93095225273,-15394.058669450314,-0.0,-14456.403371214687
waterfront___Yes,114608.89338366804,97976.56655827037,102259.52979661859,95964.65228009323
newConstruction___Yes,-45460.672385719125,-44288.06269505526,-43200.867041826285,-44104.34677425452
centralAir___Yes,6918.279679550676,6974.308910885244,6778.151467097783,6983.285211610232
